"course_id","title","link","provider","platform","skills","level","credential","duration","rating"
109,"Python for Data Science, AI & Development","https://www.coursera.org/learn/python-for-applied-data-science-ai","IBM","Coursera","Data Import/Export, Programming Principles, Web Scraping, Python Programming, Jupyter, Data Structures, Data Processing, Pandas (Python Package), Data Manipulation, JSON, Computer Programming, Restful API, NumPy, Object Oriented Programming (OOP), Scripting, Application Programming Interface (API), Automation, Data Analysis","Beginner","Course","1 - 3 Months","4.6"
110,"Google Data Analytics","https://www.coursera.org/professional-certificates/google-data-analytics","Google","Coursera","Data Storytelling, Rmarkdown, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, LinkedIn, Dashboard, Data Processing, Interviewing Skills, Professional Development","Beginner","Professional Certificate","3 - 6 Months","4.8"
111,"Data Analysis with Python","https://www.coursera.org/learn/data-analysis-with-python","IBM","Coursera","Exploratory Data Analysis, Data Wrangling, Data Transformation, Data Analysis, Data Cleansing, Data Manipulation, Data Import/Export, Predictive Modeling, Regression Analysis, Statistical Analysis, Pandas (Python Package), Scikit Learn (Machine Learning Library), Data-Driven Decision-Making, Matplotlib, Feature Engineering, Data Visualization, Data Pipelines, NumPy, Python Programming","Intermediate","Course","1 - 3 Months","4.7"
112,"Excel Basics for Data Analysis","https://www.coursera.org/learn/excel-basics-data-analysis-ibm","IBM","Coursera","Excel Formulas, Microsoft Excel, Data Cleansing, Data Analysis, Data Import/Export, Spreadsheet Software, Data Wrangling, Data Quality, Pivot Tables And Charts, Google Sheets, Data Manipulation, Data Science, Data Integrity, Information Privacy","Beginner","Course","1 - 3 Months","4.8"
113,"IBM Data Science","https://www.coursera.org/professional-certificates/ibm-data-science","IBM","Coursera","Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Data Visualization, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Supervised Learning, Data Transformation, Feature Engineering, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Generative AI, Professional Networking, Data Import/Export","Beginner","Professional Certificate","3 - 6 Months","4.6"
114,"Introduction to Data Analytics","https://www.coursera.org/learn/introduction-to-data-analytics","IBM","Coursera","Big Data, Data Analysis, Statistical Analysis, Apache Hadoop, Apache Hive, Data Collection, Data Science, Data Warehousing, Data Visualization, Data Cleansing, Apache Spark, Data Lakes, Data Visualization Software, Relational Databases, Microsoft Excel","Beginner","Course","1 - 3 Months","4.8"
115,"Using Basic Formulas and Functions in Microsoft Excel","https://www.coursera.org/projects/using-basic-formulas-functions-microsoft-excel","Coursera Project Network","Coursera","Excel Formulas, Spreadsheet Software, Microsoft Excel, Microsoft Office, Microsoft 365, Data Analysis, Business Mathematics","Beginner","Guided Project","Less Than 2 Hours","4.6"
116,"From Excel to Power BI","https://www.coursera.org/learn/from-excel-to-power-bi","Knowledge Accelerators","Coursera","Data Modeling, Data Visualization, Power BI, Data Visualization Software, Dashboard, Data Presentation, Interactive Data Visualization, Data Import/Export, Data Analysis, Data Analysis Expressions (DAX), Data Synthesis, Business Intelligence, Data Transformation, Trend Analysis, Data Sharing, Excel Formulas, Business Analytics, Microsoft 365","Beginner","Course","1 - 3 Months","4.5"
117,"Introduction to Data Analysis using Microsoft Excel","https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel","Coursera Project Network","Coursera","Microsoft Excel, Excel Formulas, Spreadsheet Software, Pivot Tables And Charts, Data Analysis, Data Manipulation, Microsoft Office, Data Mining","Intermediate","Guided Project","Less Than 2 Hours","4.7"
118,"AI Python for Beginners","https://www.coursera.org/learn/ai-python-for-beginners","DeepLearning.AI","Coursera","Large Language Modeling, Prompt Engineering, Artificial Intelligence, Jupyter, Python Programming, Data Analysis, ChatGPT, Application Development, Scripting, Programming Principles, Automation, Application Programming Interface (API), Data Structures","Beginner","Course","1 - 4 Weeks","4.8"
