"course_id","title","link","provider","platform","skills","level","credential","duration"
1,"IBM Generative AI Engineering","https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering","IBM","Coursera","Exploratory Data Analysis, Prompt Engineering, Data Wrangling, LangChain, Large Language Modeling, Prompt Patterns, Generative AI, Unsupervised Learning, PyTorch (Machine Learning Library), Keras (Neural Network Library), Data Transformation, Flask (Web Framework), Supervised Learning, Data Analysis, Data Cleansing, Data Manipulation, Unit Testing, Responsible AI, LLM Application, Data Import/Export","Beginner","Professional Certificate","3 - 6 Months"
2,"IBM AI Developer","https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai","IBM","Coursera","Prompt Engineering, Software Development Life Cycle, Prompt Patterns, Large Language Modeling, Software Architecture, Generative AI, LangChain, Responsive Web Design, LLM Application, Flask (Web Framework), Cascading Style Sheets (CSS), Unit Testing, Responsible AI, Software Design, Web Design and Development, Data Import/Export, Python Programming, Engineering Software, Machine Learning, Data Science","Beginner","Professional Certificate","3 - 6 Months"
3,"Machine Learning with Scikit-learn, PyTorch & Hugging Face","https://www.coursera.org/professional-certificates/machine-learning-scikit-learn-pytorch-hugging-face","Coursera","Coursera","Generative AI, Supervised Learning, Generative Model Architectures, Unsupervised Learning, Large Language Modeling, Time Series Analysis and Forecasting, Exploratory Data Analysis, LLM Application, Applied Machine Learning, Data Collection, Machine Learning Algorithms, OpenAI, Feature Engineering, Data Ethics, Dimensionality Reduction, MLOps (Machine Learning Operations), Machine Learning, Multimodal Prompts, Data Processing, Network Architecture","Intermediate","Professional Certificate","3 - 6 Months"
4,"Google Cybersecurity","https://www.coursera.org/professional-certificates/google-cybersecurity","Google","Coursera","Threat Modeling, Network Security, Threat Management, Incident Response, Vulnerability Management, Computer Security Incident Management, Hardening, Intrusion Detection and Prevention, Security Management, Cyber Threat Intelligence, Cyber Attacks, Cybersecurity, Network Protocols, Cloud Security, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL","Beginner","Professional Certificate","3 - 6 Months"
5,"Google Project Management","https://www.coursera.org/professional-certificates/google-project-management","Google","Coursera","Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Milestones (Project Management), Project Risk Management, Stakeholder Analysis, Quality Assessment, Team Management, Agile Methodology, Change Management, Interviewing Skills, Professional Development","Beginner","Professional Certificate","3 - 6 Months"
6,"Google UX Design","https://www.coursera.org/professional-certificates/google-ux-design","Google","Coursera","Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, User Story, Data Ethics, Usability, User Centered Design, Interviewing Skills, Professional Development","Beginner","Professional Certificate","3 - 6 Months"
7,"Epic Games Game Design","https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate","Epic Games","Coursera","Unreal Engine, Game Design, Video Game Development, Animation and Game Design, Ideation, 3D Modeling, Visualization (Computer Graphics), Software Documentation, Software Design Documents, 3D Assets, User Experience Design, Computer Graphics, Usability, User Interface (UI), User Experience, User Interface (UI) Design, Interactive Design, Virtual Environment, Version Control, Prototyping","Beginner","Professional Certificate","3 - 6 Months"
8,"Microsoft Public Relations and Communications Associate","https://www.coursera.org/professional-certificates/microsoft-public-relations","Microsoft","Coursera","Media Relations, Proofreading, Public Relations, Stakeholder Analysis, Integrated Marketing Communications, Marketing Communications, Public Affairs, Content Management, Web Content, Performance Reporting, Storytelling, Content Management Systems, Press Releases, Strategic Communication, Content Strategy, Report Writing, Content Marketing, Social Media Content, Marketing Effectiveness, Generative AI","Beginner","Professional Certificate","3 - 6 Months"
9,"Adobe Graphic Designer","https://www.coursera.org/professional-certificates/adobe-graphic-designer","Adobe","Coursera","Adobe Illustrator, Adobe Photoshop, Responsible AI, Logo Design, Digital Design, Generative AI, Graphic Design, User Interface and User Experience (UI/UX) Design, Visual Design, File Management, Process Design, Design Reviews, Prompt Engineering, Image Analysis, Presentations, Client Services, Content Creation, Marketing Collateral, Branding, Storytelling","Beginner","Professional Certificate","3 - 6 Months"
10,"Microsoft SQL Server","https://www.coursera.org/professional-certificates/microsoft-sql-server","Microsoft","Coursera","Stored Procedure, Star Schema, Microsoft SQL Servers, Database Design, Relational Databases, Data Integrity, Data Integration, SQL, Transaction Processing, Power BI, Data Warehousing, Database Management, Transact-SQL, Database Development, Data Maintenance, Databases, Query Languages, Database Architecture and Administration, Database Systems, Data Management","Beginner","Professional Certificate","3 - 6 Months"
11,"Content Creation for TikTok, YouTube, Instagram, Facebook","https://www.coursera.org/professional-certificates/content-creation-tiktok-youtube-instagram-facebook","Coursera","Coursera","TikTok, Video Production, Content Creation, Web Analytics and SEO, Content Performance Analysis, Social Media Content, Brand Strategy, Video Editing, Photography, Media Production, Social Media Campaigns, Social Media, Driving engagement, Social Media Marketing, Social Media Strategy, Content Strategy, Photo Editing, Storytelling, Drive Engagement, Brand Awareness","Beginner","Professional Certificate","3 - 6 Months"
12,"Microsoft UX Design","https://www.coursera.org/professional-certificates/ux-design","Microsoft","Coursera","Storyboarding, User Research, Information Architecture, User Experience Design, Design Thinking, Prototyping, Usability Testing, User Experience, Persona (User Experience), Wireframing, User Interface and User Experience (UI/UX) Design, Interaction Design, Web Content Accessibility Guidelines, Human Centered Design, Figma (Design Software), Usability, User Interface (UI) Design, User Centered Design, Design, Artificial Intelligence","Beginner","Professional Certificate","3 - 6 Months"
13,"Microsoft Project Management","https://www.coursera.org/professional-certificates/microsoft-project-management","Microsoft","Coursera","Stakeholder Management, Team Management, Stakeholder Analysis, Virtual Teams, Scheduling, Conflict Management, Project Schedules, Project Management Life Cycle, Project Management, Risk Mitigation, Teamwork, Project Management Office (PMO), Procurement, Project Coordination, Kanban Principles, Performance Measurement, Risk Management, Communication, Planning, Budgeting","Beginner","Professional Certificate","3 - 6 Months"
14,"Microsoft Program Management","https://www.coursera.org/professional-certificates/microsoft-program-management","Microsoft","Coursera","Earned Value Management, Stakeholder Management, Program Management, Stakeholder Communications, Agile Project Management, Stakeholder Engagement, Project Management Office (PMO), Agile Methodology, Project Performance, Team Leadership, Project Schedules, Virtual Teams, Team Building, Conflict Management, Change Management, Project Management Life Cycle, Return On Investment, Strategic Leadership, Communication, Risk Management","Beginner","Professional Certificate","3 - 6 Months"
15,"Meta iOS Developer","https://www.coursera.org/professional-certificates/meta-ios-developer","Meta","Coursera","React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development, Javascript","Beginner","Professional Certificate","3 - 6 Months"
16,"Adobe Content Creator","https://www.coursera.org/professional-certificates/adobe-content-creator","Adobe","Coursera","Content Creation, Typography, Responsible AI, Logo Design, Digital Design, Generative AI, Social Media, Graphic Design, Social Media Management, User Interface and User Experience (UI/UX) Design, Social Media Campaigns, Creative Design, Adobe Photoshop, Visual Design, Content Marketing, Infographics, Content Strategy, Storytelling, Color Theory, Branding","Beginner","Professional Certificate","3 - 6 Months"
17,"IBM Project Manager","https://www.coursera.org/professional-certificates/ibm-project-manager","IBM","Coursera","User Story, Stakeholder Engagement, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Agile Software Development, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Kanban Principles, Backlogs, Stakeholder Analysis, Project Management, IT Management, Interviewing Skills, Professional Networking, Leadership, Communication","Beginner","Professional Certificate","3 - 6 Months"
18,"Keller Williams Real Estate Agent","https://www.coursera.org/professional-certificates/keller-williams-real-estate-agent","Keller Williams","Coursera","Lead Generation, Administrative Support, Real Estate, Office Management, Real Estate Sales, Value Propositions, Property and Real Estate, Sales Process, Customer Relationship Building, Database Management, Customer Acquisition Management, Sales Management, Client Services, Real Estate Transactions, Organizational Skills, Sales Prospecting, Sales Presentation, Contract Negotiation, Interpersonal Communications, Goal Setting","Beginner","Professional Certificate","3 - 6 Months"
19,"Desarrollador de Meta de IOS","https://www.coursera.org/professional-certificates/meta-ios-developer-es","Meta","Coursera","React Native, User Research, UI/UX Research, Persona (User Experience), Apple iOS, Restful API, Core Data (Software), Design Research, Version Control, Swift Programming, User Experience Design, Unix Commands, User Interface (UI), User Interface and User Experience (UI/UX) Design, Interaction Design, Git (Version Control System), Apple Xcode, Algorithms, Jest (JavaScript Testing Framework), Mobile Development","Beginner","Professional Certificate","3 - 6 Months"
20,"IBM z/OS Mainframe Practitioner","https://www.coursera.org/professional-certificates/ibm-z-mainframe","IBM","Coursera","Job Control Language (JCL), Mainframe Computing, z/OS, Virtualization, Unix, IBM DB2, IBM Cloud, Data Management, Virtual Machines, Database Management Systems, Hardware Architecture, Data Storage, Operating System Administration, Infrastructure Architecture, System Programming, Operating Systems, Unix Commands, Linux, Control Panels, Command-Line Interface","Intermediate","Professional Certificate","1 - 3 Months"
21,"HRCI Human Resource Associate","https://www.coursera.org/professional-certificates/hrci-human-resource-associate","HRCI","Coursera","Talent Acquisition, Training and Development, Compensation and Benefits, Training Programs, Recruitment, Employee Training, Full Cycle Recruitment, Job Analysis, Employee Performance Management, Compensation Management, Performance Appraisal, Job Evaluation, Developing Training Materials, Compensation Strategy, Performance Management, Human Resource Policies, Employee Relations, Occupational Safety And Health, Business Continuity Planning, Risk Management","Beginner","Professional Certificate","3 - 6 Months"
22,"IBM Cybersecurity Analyst","https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst","IBM","Coursera","Operating System Administration, Cyber Threat Hunting, Incident Response, IT Service Management, Identity and Access Management, Cloud Computing, Governance Risk Management and Compliance, Information Technology Infrastructure Library, Endpoint Security, Malware Protection, Penetration Testing, Computer Security Incident Management, Linux Commands, Database Management, Network Security, Networking Hardware, Cybersecurity, Cyber Threat Intelligence, Interviewing Skills, Cyber Security Assessment","Beginner","Professional Certificate","3 - 6 Months"
23,"IBM Machine Learning","https://www.coursera.org/professional-certificates/ibm-machine-learning","IBM","Coursera","Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Generative Model Architectures, Deep Learning, Data Analysis, Statistical Methods, Statistical Inference, Applied Machine Learning, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming","Intermediate","Professional Certificate","3 - 6 Months"
24,"Generative AI Leader","https://www.coursera.org/professional-certificates/generative-ai-for-leaders","Google Cloud","Coursera","Prompt Engineering, Generative AI Agents, Google Gemini, Responsible AI, Generative AI, Google Workspace, Google Cloud Platform, AI Product Strategy, Productivity Software, Tool Calling, Business Leadership, LLM Application, Large Language Modeling, Data Governance, Artificial Intelligence, Cloud Infrastructure, Information Privacy, Organizational Strategy, Cloud Computing, Collaboration","Beginner","Professional Certificate","3 - 6 Months"
